Genre,Description,URL
Blues,"Le blues [bluz][1] (de l'anglais :[bluːz][2]) est un genre musical, vocal et instrumental dérivé des chants de travail des populations afro-américaines subissant la ségrégation raciale aux États-Unis. Le blues est apparu dans le sud des États-Unis au cours du XIXe siècle. C'est un style où le chanteur exprime sa tristesse, ses amours et ses envies.
",https://fr.wikipedia.org/wiki/Blues
Chanson française,"La  chanson française désigne un ensemble de genres de compositions musicales en langue française dont les plus anciennes connues datent de la fin du Moyen Âge et de la Renaissance. Sur le plan musical, elle se constitue principalement à partir des airs du folklore, des sonneries de chasse et des airs militaires, comme de la musique religieuse et de la musique classique ou savante. 
",https://fr.wikipedia.org/wiki/Chanson_fran%C3%A7aise
Dubstep,"Le dubstep[note 1] est un genre de musique électronique, originaire pour sa plus grande partie du sud de Londres, à Croydon. Il émerge à la fin des années 1990 et se développe grâce à de nombreux styles musicaux connexes tels que le 2-step garage, broken beat, drum and bass, jungle, dub et reggae. Au Royaume-Uni, les origines du genre peuvent être retracées lors de l'émergence du sound system jamaïcain au début des années 1980[2],[3].
",https://fr.wikipedia.org/wiki/Dubstep
Drum and bass,"La drum and bass (prononcé en anglais : [dɹʌm ən(d) beɪs]), parfois stylisé drum'n'bass, drum bass ou abrégé DnB, est un genre de musique électronique apparu au Royaume-Uni, plus précisément dans la région de Bristol, vers 1996-1997 au remplacement de l'amen break par le 2-step, marquant la fin de l'ère jungle[2],[3]. Le terme drum and bass lui, est apparu vers 1992, pour désigner le breakbeat hardcore. Elle est caractérisée par un rythme breakbeat, une structure rythmique 2-step et des lignes de basse lourdes[1] à basse fréquence. Ces deux composantes constituent l'essence du genre. La mélodie est habituellement minimale et sert généralement d'emphase aux percussions qui sont extrêmement répétitives. La drum and bass peut être accompagnée de textes dits de manière rapide et rythmés par un MC.
",https://fr.wikipedia.org/wiki/Drum_and_bass
Easy listening,Description non disponible,https://fr.wikipedia.org/wiki/Easy_listening
Electronic dance music,"L'electronic dance music, connu également sous les termes EDM, dance music[1], club music[1], ou simplement dance, définit une variété de genres de musique électronique entièrement composés pour danser et principalement joués dans des discothèques. Cette variété est produite et jouée par des disc jockeys (DJs) lors de mixsets durant lesquels les DJs entremêlent plusieurs chansons.
",https://fr.wikipedia.org/wiki/Electronic_dance_music
Electronica,"L'electronica est un genre musical recouvrant une large variété de musique électronique contemporaine. Contrairement à la dance (EDM), certaines chansons electronica ne sont pas nécessairement composées pour danser[1],[2]. Le genre n'est pas précisément défini, et est caractérisé différemment selon les régions et périodes.
",https://fr.wikipedia.org/wiki/Electronica
Funk,"Le funk est un genre musical ayant émergé vers le milieu des années 1960 aux États-Unis, dans la lignée du mouvement hard bop, et qui s'est développé au cours des années 1960 et 1970. Le terme funk provient de l'argot anglo-américain funky, qui signifie littéralement « puant », « qui sent la sueur », insulte traditionnellement adressée aux noirs par les WASP et reprise ensuite à leur compte par les artistes noirs tels que Horace Silver dans son morceau Opus de Funk (1953). Issu principalement de la soul et du jazz, le funk se caractérise par la prédominance de la section rythmique (guitare, basse, batterie) qui joue des motifs syncopés, la présence fréquente de cuivres ou de saxophones sur des ponctuations rythmiques (riffs) ou bien des solos et, de manière générale, par la grande place accordée aux instruments.
",https://fr.wikipedia.org/wiki/Funk
Gospel,"Le gospel est un genre de musique chrétienne avec des dominantes vocales qui varient selon la culture. Il s'est développé en même temps que le blues primitif. Les artistes modernes de gospel ont aussi intégré des éléments de musique soul. L'origine de ce style provient des afro-américains chrétiens évangéliques, suivant les negro spirituals.
",https://fr.wikipedia.org/wiki/Gospel
Heavy metal,"Le heavy metal (ou simplement metal), parfois retranscrit heavy métal en français[2], est un genre musical dérivé du rock[3] apparu au Royaume-Uni et aux États-Unis à la fin des années 1960. Cependant, le terme de « heavy metal » est sujet à confusion car il peut prendre plusieurs sens différents selon le contexte dans lequel il est employé. Dans son contexte d'origine, il était indifféremment utilisé comme un synonyme de hard rock[4]. Dans un second sens, le terme désigne le heavy metal traditionnel, une tendance esthétique plus radicale[5] qui, au cours des années 1970 et 1980, s’est démarquée du hard rock, en s’éloignant de ses racines blues[4], même si cette distinction est contestée par des recherches récentes[6]. Dans un sens large et généralisé, le heavy metal ou metal (tout court) désigne toutes les musiques qui descendent du heavy metal traditionnel et du hard rock.
",https://fr.wikipedia.org/wiki/Heavy_metal
